,Date,Open,Close,Adj_Close,High,Low,Symbol
331,2015-07-24,1.76,1.67,1.67,1.77,1.65,AMD
332,2015-07-23,1.80,1.76,1.76,1.81,1.75,AMD
333,2015-07-22,1.80,1.79,1.79,1.81,1.76,AMD
334,2015-07-21,1.82,1.80,1.80,1.83,1.78,AMD
335,2015-07-20,1.82,1.80,1.80,1.84,1.77,AMD
336,2015-07-17,1.87,1.79,1.79,1.90,1.74,AMD
337,2015-07-16,1.97,1.87,1.87,2.00,1.87,AMD
338,2015-07-15,2.07,1.96,1.96,2.09,1.95,AMD
339,2015-07-14,2.03,2.05,2.05,2.06,1.97,AMD
340,2015-07-13,1.97,1.96,1.96,1.99,1.95,AMD
341,2015-07-10,2.00,1.96,1.96,2.03,1.95,AMD
342,2015-07-09,2.04,1.98,1.98,2.06,1.93,AMD
343,2015-07-08,2.07,2.01,2.01,2.07,2.01,AMD
344,2015-07-07,2.04,2.09,2.09,2.14,2.02,AMD
345,2015-07-06,2.46,2.47,2.47,2.54,2.44,AMD
346,2015-07-02,2.43,2.53,2.53,2.63,2.39,AMD
347,2015-07-01,2.47,2.42,2.42,2.48,2.36,AMD
348,2015-06-30,2.43,2.40,2.40,2.43,2.35,AMD
349,2015-06-29,2.41,2.34,2.34,2.42,2.31,AMD
350,2015-06-26,2.54,2.47,2.47,2.55,2.37,AMD
351,2015-06-25,2.62,2.58,2.58,2.66,2.57,AMD
352,2015-06-24,2.60,2.62,2.62,2.66,2.57,AMD
353,2015-06-23,2.62,2.61,2.61,2.64,2.55,AMD
354,2015-06-22,2.61,2.62,2.62,2.67,2.58,AMD
355,2015-06-19,2.53,2.58,2.58,2.59,2.46,AMD
356,2015-06-18,2.50,2.52,2.52,2.59,2.48,AMD
357,2015-06-17,2.37,2.47,2.47,2.54,2.35,AMD
358,2015-06-16,2.32,2.35,2.35,2.37,2.32,AMD
359,2015-06-15,2.32,2.32,2.32,2.35,2.29,AMD
360,2015-06-12,2.31,2.31,2.31,2.33,2.30,AMD
361,2015-06-11,2.34,2.32,2.32,2.35,2.31,AMD
362,2015-06-10,2.31,2.32,2.32,2.35,2.30,AMD
363,2015-06-09,2.35,2.29,2.29,2.36,2.28,AMD
364,2015-06-08,2.31,2.31,2.31,2.33,2.29,AMD
365,2015-06-05,2.31,2.33,2.33,2.34,2.29,AMD
366,2015-06-04,2.28,2.33,2.33,2.33,2.26,AMD
367,2015-06-03,2.30,2.28,2.28,2.32,2.28,AMD
368,2015-06-02,2.26,2.30,2.30,2.30,2.25,AMD
369,2015-06-01,2.29,2.25,2.25,2.30,2.25,AMD
370,2015-05-29,2.27,2.28,2.28,2.32,2.25,AMD
371,2015-05-28,2.28,2.27,2.27,2.33,2.27,AMD
372,2015-05-27,2.24,2.28,2.28,2.28,2.20,AMD
373,2015-05-26,2.27,2.22,2.22,2.28,2.22,AMD
374,2015-05-22,2.30,2.28,2.28,2.31,2.27,AMD
375,2015-05-21,2.31,2.28,2.28,2.35,2.28,AMD
376,2015-05-20,2.30,2.32,2.32,2.33,2.28,AMD
377,2015-05-19,2.36,2.28,2.28,2.37,2.28,AMD
378,2015-05-18,2.35,2.35,2.35,2.36,2.33,AMD
379,2015-05-15,2.33,2.32,2.32,2.38,2.32,AMD
380,2015-05-14,2.38,2.33,2.33,2.39,2.33,AMD
381,2015-05-13,2.36,2.37,2.37,2.38,2.35,AMD
382,2015-05-12,2.32,2.35,2.35,2.35,2.30,AMD
383,2015-05-11,2.31,2.32,2.32,2.35,2.31,AMD
384,2015-05-08,2.33,2.31,2.31,2.36,2.30,AMD
385,2015-05-07,2.32,2.32,2.32,2.32,2.26,AMD
386,2015-05-06,2.29,2.29,2.29,2.31,2.24,AMD
387,2015-05-05,2.34,2.28,2.28,2.34,2.25,AMD
388,2015-05-04,2.31,2.31,2.31,2.36,2.30,AMD
389,2015-05-01,2.26,2.31,2.31,2.31,2.25,AMD
390,2015-04-30,2.28,2.26,2.26,2.31,2.26,AMD
391,2015-04-29,2.30,2.28,2.28,2.33,2.27,AMD
392,2015-04-28,2.36,2.31,2.31,2.37,2.31,AMD
393,2015-04-27,2.30,2.34,2.34,2.36,2.29,AMD
394,2015-04-24,2.36,2.30,2.30,2.38,2.30,AMD
395,2015-04-23,2.28,2.33,2.33,2.36,2.26,AMD
396,2015-04-22,2.35,2.28,2.28,2.36,2.25,AMD
397,2015-04-21,2.53,2.35,2.35,2.53,2.35,AMD
398,2015-04-20,2.56,2.49,2.49,2.57,2.45,AMD
399,2015-04-17,2.54,2.58,2.58,2.58,2.45,AMD
400,2015-04-16,2.72,2.87,2.87,2.94,2.70,AMD
401,2015-04-15,2.70,2.70,2.70,2.74,2.65,AMD
402,2015-04-14,2.77,2.67,2.67,2.79,2.65,AMD
403,2015-04-13,2.76,2.78,2.78,2.80,2.73,AMD
404,2015-04-10,2.74,2.76,2.76,2.78,2.73,AMD
405,2015-04-09,2.69,2.72,2.72,2.75,2.69,AMD
406,2015-04-08,2.68,2.71,2.71,2.74,2.68,AMD
407,2015-04-07,2.70,2.70,2.70,2.74,2.69,AMD
408,2015-04-06,2.68,2.70,2.70,2.73,2.68,AMD
409,2015-04-02,2.66,2.69,2.69,2.70,2.65,AMD
410,2015-04-01,2.66,2.69,2.69,2.75,2.65,AMD
411,2015-03-31,2.66,2.68,2.68,2.70,2.65,AMD
412,2015-03-30,2.73,2.70,2.70,2.76,2.66,AMD
413,2015-03-27,2.70,2.72,2.72,2.80,2.63,AMD
414,2015-03-26,2.59,2.65,2.65,2.70,2.53,AMD
415,2015-03-25,2.78,2.63,2.63,2.79,2.56,AMD
416,2015-03-24,2.85,2.79,2.79,2.85,2.76,AMD
417,2015-03-23,2.81,2.84,2.84,2.85,2.80,AMD
418,2015-03-20,2.76,2.80,2.80,2.80,2.74,AMD
419,2015-03-19,2.76,2.74,2.74,2.78,2.73,AMD
420,2015-03-18,2.77,2.75,2.75,2.82,2.72,AMD
421,2015-03-17,2.75,2.77,2.77,2.80,2.74,AMD
422,2015-03-16,2.75,2.76,2.76,2.81,2.75,AMD
423,2015-03-13,2.74,2.75,2.75,2.78,2.71,AMD
424,2015-03-12,2.76,2.76,2.76,2.79,2.72,AMD
425,2015-03-11,2.92,2.84,2.84,2.95,2.80,AMD
426,2015-03-10,2.97,2.92,2.92,2.98,2.92,AMD
427,2015-03-09,2.92,2.93,2.93,2.98,2.90,AMD
428,2015-03-06,2.96,2.92,2.92,2.99,2.83,AMD
429,2015-03-05,3.10,2.98,2.98,3.10,2.98,AMD
430,2015-03-04,3.14,3.05,3.05,3.14,3.01,AMD
431,2015-03-03,3.20,3.14,3.14,3.23,3.13,AMD
432,2015-03-02,3.13,3.21,3.21,3.23,3.11,AMD
433,2015-02-27,3.07,3.11,3.11,3.12,3.07,AMD
434,2015-02-26,3.10,3.08,3.08,3.13,3.06,AMD
435,2015-02-25,3.08,3.10,3.10,3.14,3.06,AMD
436,2015-02-24,3.06,3.11,3.11,3.12,3.02,AMD
437,2015-02-23,3.05,3.06,3.06,3.10,3.03,AMD
438,2015-02-20,3.03,3.06,3.06,3.13,3.02,AMD
439,2015-02-19,3.06,3.06,3.06,3.08,3.01,AMD
440,2015-02-18,3.11,3.08,3.08,3.14,3.06,AMD
441,2015-02-17,3.16,3.11,3.11,3.17,3.08,AMD
442,2015-02-13,3.13,3.15,3.15,3.18,3.11,AMD
443,2015-02-12,3.08,3.12,3.12,3.15,3.05,AMD
444,2015-02-11,3.03,3.07,3.07,3.10,3.00,AMD
445,2015-02-10,3.07,3.04,3.04,3.10,3.01,AMD
446,2015-02-09,3.03,3.04,3.04,3.07,2.93,AMD
447,2015-02-06,3.20,3.03,3.03,3.21,3.00,AMD
448,2015-02-05,2.88,3.31,3.31,3.37,2.87,AMD
449,2015-02-04,2.78,2.85,2.85,2.92,2.76,AMD
450,2015-02-03,2.70,2.76,2.76,2.80,2.68,AMD
451,2015-02-02,2.69,2.67,2.67,2.75,2.65,AMD
452,2015-01-30,2.56,2.57,2.57,2.60,2.51,AMD
453,2015-01-29,2.63,2.61,2.61,2.69,2.51,AMD
454,2015-01-28,2.71,2.63,2.63,2.75,2.60,AMD
455,2015-01-27,2.58,2.70,2.70,2.84,2.56,AMD
456,2015-01-26,2.44,2.61,2.61,2.64,2.44,AMD
457,2015-01-23,2.48,2.45,2.45,2.50,2.43,AMD
458,2015-01-22,2.42,2.47,2.47,2.50,2.37,AMD
459,2015-01-21,2.18,2.45,2.45,2.45,2.14,AMD
460,2015-01-20,2.39,2.24,2.24,2.43,2.19,AMD
461,2015-01-16,2.52,2.39,2.39,2.53,2.39,AMD
462,2015-01-15,2.62,2.52,2.52,2.65,2.49,AMD
463,2015-01-14,2.60,2.63,2.63,2.66,2.58,AMD
464,2015-01-13,2.64,2.66,2.66,2.68,2.60,AMD
465,2015-01-12,2.62,2.63,2.63,2.64,2.55,AMD
466,2015-01-09,2.63,2.63,2.63,2.64,2.58,AMD
467,2015-01-08,2.59,2.61,2.61,2.65,2.56,AMD
468,2015-01-07,2.63,2.58,2.58,2.65,2.54,AMD
469,2015-01-06,2.65,2.63,2.63,2.66,2.55,AMD
470,2015-01-05,2.67,2.66,2.66,2.70,2.64,AMD
471,2015-01-02,2.67,2.67,2.67,2.67,2.67,AMD
472,2014-12-31,2.64,2.67,2.67,2.70,2.64,AMD
473,2014-12-30,2.64,2.63,2.63,2.70,2.63,AMD
474,2014-12-29,2.64,2.66,2.66,2.66,2.63,AMD
475,2014-12-26,2.65,2.65,2.65,2.69,2.65,AMD
